node_id,lat,lon
0,8024138.128,1117571.523
1,8024978.548,1117539.075
2,8023876.579,1116977.322
3,8023900.738,1117587.296
4,8023276.429,1116958.036
5,8023481.523,1117396.462
6,8023531.018,1118627.683
7,8023381.437,1117930.602
8,8023526.493,1116928.005
9,8023588.285,1117172.74
10,8023796.425,1118600.929
11,8023567.3,1117618.647
12,8024754.196,1116881.71
13,8024807.618,1117297.416
14,8024158.547,1118034.759
15,8024384.612,1118016.656
16,7976309.605,559057.4768
17,7977598.339,565486.1086
18,8175038.764,589310.2009
19,8175062.994,589349.9411
20,8174475.551,588802.2103
21,8174504.519,588827.9125
22,8175125.164,589364.4264
23,8175109.038,589336.6095
24,8174912.579,589173.7998
25,8174262.792,589057.1657
26,8174483.42,588793.2991
27,8175099.368,592747.3628
28,8175129.386,592738.8042
29,7804490.477,647889.7167
30,7805463.032,644560.4991
31,7551698.445,1049085.257
32,7551694.71,1049080.162
33,7588063.029,1062850.438
34,7587827.214,1062790.55
35,7552762.589,1049556.608
36,7552648.864,1049510.162
37,8186460.768,568603.7993
38,8187007.083,568136.7673
39,8198238.246,549735.8768
40,8204983.241,545177.6862
41,8170498.63,588039.5515
42,8170511.35,588058.9178
43,8170499.216,587842.4014
44,8170523.843,587955.6868
45,8170503.839,587980.5957
46,8170643.573,587814.2343
47,8170654.819,587858.5856
48,8170736.265,587885.9588
49,8170704.418,587752.4644
50,8170564.121,587907.9081
51,8170553.946,587861.1498
52,8170684.588,587764.5374
53,8170527.382,587815.5624
54,8171132.038,587202.1567
55,8171354.339,586921.6402
56,8171338.757,586857.1128
57,8171331.661,586863.7429
58,8171328.686,586904.6013
59,8171144.413,587165.1998
60,8171685.162,588142.7848
61,8171534.013,587984.4861
62,8172027.78,587758.2347
63,8171355.276,587034.3311
64,8171961.417,587832.6851
65,8171831.623,587705.7091
66,8171892.889,587909.1005
67,8171219.971,587185.0025
68,8171538.198,587691.5562
69,8171818.168,587990.4415
70,8171750.57,588069.09
71,8171077.753,587343.3697
72,8171112.005,587305.2214
73,8171784.15,588030.5866
74,8171185.298,587223.6083
75,8171859.223,587947.145
76,8171254.067,587147.0345
77,8171925.575,587872.834
78,8171388.827,586996.9793
79,8172061.144,587720.8819
80,8171321.647,587071.7892
81,8171995.058,587795.4618
82,8171762.907,587323.5116
83,8171503.208,587566.1545
84,8170942.195,587493.1932
85,8171521.596,588133.8434
86,8171057.649,587365.7504
87,8171024.604,587343.623
88,8175946.759,591812.4234
89,8175827.099,591609.9282
90,8074586.763,802157.2451
91,8074608.134,802274.0795
92,8075086.571,803217.3692
93,8075152.857,803205.2326
94,8025048.166,1118313.972
95,8025020.566,1118303.896
96,8025006.669,1118325.529
97,8024746.061,1118484.243
98,8022352.341,1117063.375
99,8022556.718,1117043.466
100,8023255.7,1118416.638
101,8022548.076,1118200.077
102,8023266.093,1118475.996
103,8023299.453,1118447.237
104,8023897.662,1118590.203
105,8023379.401,1118561.405
106,8023900.811,1118615.104
107,8023902.205,1118616.064
108,8024193.126,1118550.34
109,8024183.431,1118554.182
110,8024073.514,1118571.862
111,8023920.107,1118586.897
112,8025084.617,1117648.187
113,8024993.684,1117623.793
114,8024102.937,1116800.513
115,8024336.377,1116805.436
116,8024074.993,1116773.595
117,8023597.384,1116878.08
118,8024751.075,1118509.63
119,8024905.998,1118456.644
120,8024212.994,1118581.548
121,8024431.182,1118555.448
122,8023924.765,1118610.854
123,8023988.449,1118605.393
124,8022575.692,1118242.444
125,8022920.6,1118293.162
126,8025118.218,1117541.512
127,8025138.751,1117540.34
128,8023109.708,1116974.019
129,8023214.242,1116964.454
130,8022317.634,1117048.328
131,8022258.879,1117063.075
132,8023107.145,1116944.162
133,8023100.117,1116929.838
134,8023101.29,1117091.937
135,8023122.7,1117248.03
136,8023298.325,1118436.313
137,8023262.854,1118156.116
138,8024196.723,1118623.691
139,8024246.821,1119311.144
140,8024103.727,1116772.571
141,8024062.784,1116182.62
142,8024043.547,1116152.479
143,8024047.302,1116180.168
144,8024065.285,1116116.068
145,8024043.856,1116117.842
146,8024064.602,1116152.014
147,8024078.224,1116150.253
148,8024043.098,1116126.48
149,8024017.025,1116134.194
150,8025610.703,1118693.95
151,8025611.365,1118658.776
152,8024704.28,1119355.861
153,8024733.705,1119350.557
154,8025171.538,1119263.633
155,8025195.334,1119251.962
156,8022917.669,1119176.521
157,8023672.783,1119389.2
158,8022519.736,1118219.424
159,8022523.294,1118279.003
160,8022447.701,1118917.406
161,8022796.382,1119147.281
162,8024501.662,1121172.758
163,8024465.552,1121132.886
164,8019970.941,1117181.372
165,8020252.275,1117230.035
166,8024065.463,1116106.027
167,8022993.87,1115149.708
168,8023052.614,1115177.844
